1970726015	1			Harmonic Resonances
1970726015	2			Tamoline
1970726015	3			Summary: Months had passed and Carrie was still missing Sue, despite the regular phone calls.
1970726015	4			But things were changing, things always change, and rarely in the ways that you expect.
1970726015	5			Chapter 1
1970726015	6			Carrie stood awkwardly in the corner of the bar, shifting from foot to foot, letting the noise of the crowd wash over her.
1970726015	7			The smell of cigarette smoke and alcohol was so thick in the air she could almost swallow it.
1970726015	8			“You sure I can’t get you a drink?” a bearded man shouted at her, his words slurring, the scent of hops getting even stronger.
1970726015	9			She averted her eyes and shook her head.
1970726015	10			“No thanks,” she murmured, but she doubted he could hear her over the background babble.
1970726015	11			She jumped a little as he reached forwards and hugged her tightly.
1970726015	12			“Thank you for finding Ben,” he said into her ear.
1970726015	13			“If there’s anything — anything — I can ever do for you, you just let me know.”
1970726015	14			It was… She hugged him back stiffly, grateful despite herself when he stepped away.
1970726015	15			This was what she’d wanted, way back when, wasn’t it?
1970726015	16	gender	known=feminine	Wanting to be known, to be appreciated.
1970726015	16	gender	appreciated=feminine	Wanting to be known, to be appreciated.
1970726015	17			It was just that it could all get a bit overwhelming after a while, especially with so many people focussing on her, coming up and talking to her, wanting something from her that she couldn’t help feeling that she might not be up to.
1970726015	18			It was easier when Chris was at her side.
1970726015	19	lexical	tied	But Carrie was hardly going to tie Chris to her apron strings when there was a party to be enjoyed, free alcohol to be had…
1970726015	19	ambiguity	to	But Carrie was hardly going to tie Chris to her apron strings when there was a party to be enjoyed, free alcohol to be had…
1970726015	20	gender	Chris=feminine	Men to be flirted with, she couldn’t help noting sourly, seeing Chris seemingly being courted by not just one but two guys.
1970726015	20	gender	courted=feminine	Men to be flirted with, she couldn’t help noting sourly, seeing Chris seemingly being courted by not just one but two guys.
1970726015	21			She certainly seemed to be enjoying herself.
1970726015	22			Not that it was any of Carrie’s business, of course.
1970726015	23	lexical	she'd	She’d had enough for the night, she abruptly decided.
1970726015	23	ambiguity	had	She’d had enough for the night, she abruptly decided.
1970726015	24	gender	they=feminine	This might have been a really nice day, a day when they’d managed to do some unalloyed good, but...
1970726015	24	lexical	unalloyed	This might have been a really nice day, a day when they’d managed to do some unalloyed good, but...
